"Statistic Label","Quarter","Sex","UNIT","VALUE"
"Population","2000Q2","Both sexes","Number","3789500"
"Population","2000Q2","Male","Number","1882900"
"Population","2000Q2","Female","Number","1906600"
"Population","2000Q3","Both sexes","Number",""
"Population","2000Q3","Male","Number",""
"Population","2000Q3","Female","Number",""
"Population","2000Q4","Both sexes","Number",""
"Population","2000Q4","Male","Number",""
"Population","2000Q4","Female","Number",""
"Population","2001Q1","Both sexes","Number",""
"Population","2001Q1","Male","Number",""
"Population","2001Q1","Female","Number",""
"Population","2001Q2","Both sexes","Number","3847200"
"Population","2001Q2","Male","Number","1913100"
"Population","2001Q2","Female","Number","1934100"
"Population","2001Q3","Both sexes","Number",""
"Population","2001Q3","Male","Number",""
"Population","2001Q3","Female","Number",""
"Population","2001Q4","Both sexes","Number",""
"Population","2001Q4","Male","Number",""
"Population","2001Q4","Female","Number",""
"Population","2002Q1","Both sexes","Number",""
"Population","2002Q1","Male","Number",""
"Population","2002Q1","Female","Number",""
"Population","2002Q2","Both sexes","Number","3917203"
"Population","2002Q2","Male","Number","1946164"
"Population","2002Q2","Female","Number","1971039"
"Population","2002Q3","Both sexes","Number",""
"Population","2002Q3","Male","Number",""
"Population","2002Q3","Female","Number",""
"Population","2002Q4","Both sexes","Number",""
"Population","2002Q4","Male","Number",""
"Population","2002Q4","Female","Number",""
"Population","2003Q1","Both sexes","Number",""
"Population","2003Q1","Male","Number",""
"Population","2003Q1","Female","Number",""
"Population","2003Q2","Both sexes","Number","3978900"
"Population","2003Q2","Male","Number","1976700"
"Population","2003Q2","Female","Number","2002200"
"Population","2003Q3","Both sexes","Number",""
"Population","2003Q3","Male","Number",""
"Population","2003Q3","Female","Number",""
"Population","2003Q4","Both sexes","Number",""
"Population","2003Q4","Male","Number",""
"Population","2003Q4","Female","Number",""
"Population","2004Q1","Both sexes","Number",""
"Population","2004Q1","Male","Number",""
"Population","2004Q1","Female","Number",""
"Population","2004Q2","Both sexes","Number","4043800"
"Population","2004Q2","Male","Number","2011200"
"Population","2004Q2","Female","Number","2032600"
"Population","2004Q3","Both sexes","Number",""
"Population","2004Q3","Male","Number",""
"Population","2004Q3","Female","Number",""
"Population","2004Q4","Both sexes","Number",""
"Population","2004Q4","Male","Number",""
"Population","2004Q4","Female","Number",""
"Population","2005Q1","Both sexes","Number",""
"Population","2005Q1","Male","Number",""
"Population","2005Q1","Female","Number",""
"Population","2005Q2","Both sexes","Number","4130700"
"Population","2005Q2","Male","Number","2059000"
"Population","2005Q2","Female","Number","2071800"
"Population","2005Q3","Both sexes","Number",""
"Population","2005Q3","Male","Number",""
"Population","2005Q3","Female","Number",""
"Population","2005Q4","Both sexes","Number",""
"Population","2005Q4","Male","Number",""
"Population","2005Q4","Female","Number",""
"Population","2006Q1","Both sexes","Number",""
"Population","2006Q1","Male","Number",""
